Country_Code,Country_Name,Unicode_Emoji,Timezone
pt,Portugal,\U0001F1F5\U0001F1F9,Europe/Lisbon
br,Brazil,\U0001F1E7\U0001F1F7,America/Sao_Paulo
us,USA,\U0001F1FA\U0001F1F8,America/New_York
it,Italy,\U0001F1EE\U0001F1F9,Europe/Rome
es,Spain,\U0001F1EA\U0001F1F8,Europe/Madrid
fr,France,\U0001F1EB\U0001F1F7,Europe/Paris
de,Germany,\U0001F1E9\U0001F1EA,Europe/Berlin
au,Australia,\U0001F1E6\U0001F1FA,Australia/Sydney
gb,UK,\U0001F1EC\U0001F1E7,GB
cn,China,\U0001F1E8\U0001F1F3,Asia/Hong_Kong
co,Colombia,\U0001F1E8\U0001F1F4,America/Bogota
ru,Russia,\U0001F1F7\U0001F1FA,Europe/Moscow
ca,Canada,\U0001F1E8\U0001F1E6,Canada/Eastern
jp,Japan,\U0001F1EF\U0001F1F5,Asia/Tokyo
